Provinsi / Kabupaten / Kota,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2010,2011,2012,,,,
BOVEN DIGOEL,0.01,0.01,0.01,,,,
MAPPI,10,10,10,,,,
ASMAT,5,5,5,,,,
YAHUKIMO,5.71,5.71,5.71,,,,
PEGUNUNGAN BINTANG,15,15,15,,,,
TOLIKARA,16.67,16.67,6.67,,,,
SARMI,5,5,5,,,,
KEEROM,10,10,10,,,,
WAROPEN,10,10,10,,,,
SUPIORI,25,25,30,,,,
MAMBERAMO RAYA,10,10,10,,,,
NDUGA,20,20,20,,,,
LANNY JAYA,16,16,16,,,,
MAMBERAMO TENGAH,5,5,5,,,,
YALIMO,5,5,5,,,,
PUNCAK,10.53,10.53,10.53,,,,
DOGIYAI,5,5,5,,,,
INTAN JAYA,0.01,0.01,0.01,,,,
DEIYAI,0.01,0.01,0.01,,,,
KOTA JAYAPURA,20.69,20.69,20.69,,,,
INDONESIA,17.49,17.49,18.04,,,,



Provinsi / Kabupaten / Kota,,,,,,,
,Keterlibatan Perempuan di Parlemen (Persen),,,,,,
,2013,2014,2015,,,,
ACEH,10.14,14.81,14.81,,,,
SIMEULUE,25,15,15,,,,
ACEH SINGKIL,16,8,8,,,,
ACEH SELATAN,0.01,3.33,3.33,,,,
ACEH TENGGARA,16,13.33,13.33,,,,
ACEH TIMUR,5.71,10,10,,,,
ACEH TENGAH,6.67,3.33,3.33,,,,
ACEH BARAT,3.33,8,8,,,,
ACEH BESAR,2.86,2.86,2.86,,,,
PIDIE,4.44,17.5,17.5,,,,
BIREUEN,5.71,2.5,2.5,,,,
ACEH UTARA,4.44,2.22,2.22,,,,
ACEH BARAT DAYA,0.01,4,4,,,,
GAYO LUES,0.01,15,10,,,,
ACEH TAMIANG,13.33,33.33,30,,,,
NAGAN RAYA,16,16,16,,,,
ACEH JAYA,0.01,5,5,,,,
BENER MERIAH,8,4,4,,,,
PIDIE JAYA,12,4,4,,,,
KOTA BANDA ACEH,3.33,3.33,3.33,,,,
KOTA SABANG,10,25,30,,,,
KOTA LANGSA,16,8,8,,,,
KOTA LHOKSEUMAWE,8,8,8,,,,
KOTA SUBULUSSALAM,20,15,15,,,,
SUMATERA UTARA,17,13,14,,,,
NIAS,4,0.01,-,,,,
MANDAILING NATAL,7.5,7.5,7.5,,,,
TAPANULI SELATAN,8.89,10,10,,,,
TAPANULI TENGAH,20,20,5.71,,,,
TAPANULI UTARA,8.57,8.57,8.57,,,,
TOBA SAMOSIR,12,6.67,6.67,,,,
LABUHAN BATU,10,31.11,27.27,,,,
ASAHAN,8.89,15.56,15.56,,,,
SIMALUNGUN,8.89,12,12,,,,
DAIRI,10,5.71,5.71,,,,
